State,County,State/County FIPS Code,Alcohol Abuse,Alzheimer's Disease/Dementia,Arthritis ,Asthma,Atrial Fibrillation,Autism Spectrum Disorders,Cancer,Chronic Kidney Disease,COPD,Depression ,Diabetes,Drug Abuse/Substance Abuse,HIV/AIDS,Heart Failure,Hepatitis  (Chronic Viral B & C),Hyperlipidemia,Hypertension,Ischemic Heart Disease,Osteoporosis,Schizophrenia/Other Psychotic Disorders,Stroke
Indiana ,Union ,18161,"15,516.20","21,986.30","14,199.40","21,683.90","18,078.40",0,"17,151.50","19,653.90","17,282.90","17,528.40","11,821.70","15,312.40",0,"21,732.20",0,"12,909.20","11,712.10","14,852.80","17,477.10","24,531.70","22,841.80"
Indiana ,Unknown ,18999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana ,Vanderburgh ,18163,"21,605.40","22,120.60","15,243.60","22,246.30","24,233.00","5,469.70","19,670.50","25,709.40","23,806.90","18,808.80","15,622.30","23,691.50","21,733.40","27,552.60","24,350.20","13,295.40","13,590.30","18,946.10","21,300.30","24,398.60","29,103.10"
Indiana ,Vermillion ,18165,"31,015.10","21,736.30","14,286.30","27,256.20","21,128.70",0,"21,360.60","24,758.20","23,739.40","19,018.90","14,888.80","24,236.90",0,"25,255.40","15,051.10","13,415.50","13,068.20","16,793.40","20,162.30","25,541.90","27,818.60"
Indiana ,Vigo ,18167,"28,865.80","23,358.70","17,133.60","23,789.70","25,482.20","10,077.10","20,852.10","26,636.60","24,238.30","21,289.00","16,252.70","29,214.60","8,061.40","26,726.40","21,608.30","14,695.50","14,832.60","18,740.10","20,742.80","26,698.80","29,023.00"
Indiana ,Wabash ,18169,"20,595.10","18,874.00","13,842.30","19,439.40","22,843.00",0,"17,199.20","20,394.60","20,836.50","15,679.10","13,671.00","21,878.90",0,"24,179.00",0,"11,754.20","12,327.90","14,629.30","16,171.90","21,235.40","27,520.50"
Indiana ,Warren ,18171,"31,060.40","20,451.50","15,716.70","20,324.20","18,250.50",0,"20,245.20","21,851.10","21,787.70","20,554.40","14,392.70","38,190.90",0,"22,888.00",0,"11,761.00","12,695.20","16,580.20","19,750.50","23,245.30","28,224.60"
Indiana ,Warrick ,18173,"19,202.10","22,782.20","14,988.80","23,115.30","22,241.50",0,"18,675.70","24,184.20","22,886.10","18,787.90","14,012.40","22,009.50",0,"25,668.60","37,300.60","12,829.00","13,051.10","17,525.20","18,434.50","29,894.80","26,028.40"
Indiana ,Washington ,18175,"23,439.00","23,517.90","14,568.90","25,150.20","22,746.60",0,"18,719.00","24,297.60","22,497.60","18,949.40","16,378.20","25,660.30",0,"27,057.90","20,005.50","14,080.50","13,696.60","17,475.70","20,837.00","26,951.70","29,296.60"
Indiana ,Wayne ,18177,"18,941.10","22,945.30","15,905.60","24,893.80","25,712.20","12,891.30","19,684.10","24,719.90","24,823.10","19,892.40","15,660.20","19,973.10","20,799.30","26,749.10","19,176.00","14,069.20","14,145.70","17,651.20","20,545.60","20,637.20","24,972.30"
Indiana ,Wells ,18179,"10,777.50","19,056.60","14,283.00","20,053.90","19,870.70",0,"23,792.10","17,797.90","23,314.90","18,503.40","13,922.00","14,627.50",0,"29,486.70","45,700.00","10,885.20","11,605.00","15,746.50","16,797.10","24,776.60","32,436.30"
Indiana ,White ,18181,"22,427.00","22,330.30","15,414.50","22,356.40","21,645.20",0,"19,376.20","19,803.30","22,388.60","19,138.50","12,307.80","24,963.00",0,"24,960.70",0,"12,410.30","12,342.40","17,171.30","19,081.20","25,611.30","28,776.20"
Indiana ,Whitley ,18183,"18,226.30","17,198.60","13,250.20","19,153.70","23,832.00",0,"20,008.20","20,292.90","19,880.80","15,829.10","12,247.00","23,597.80",0,"21,312.50",0,"11,305.30","12,042.00","14,071.20","15,005.50","24,255.20","25,991.60"
Iowa ,  ,  ,"20,412.30","16,034.20","13,742.30","20,589.70","20,060.30","6,813.80","18,221.10","22,003.00","21,405.30","16,102.60","12,773.40","25,016.10","12,927.80","23,591.40","21,784.40","12,185.20","12,433.30","15,942.20","17,049.80","18,325.70","25,272.60"
Iowa ,Adair ,19001,"19,749.90","14,752.70","15,589.60","22,013.30","25,297.60",0,"25,756.80","23,674.90","24,389.10","15,498.40","13,379.00",0,0,"22,533.40",0,"13,439.50","14,465.20","15,756.00","21,777.80","19,862.40","31,638.80"
Iowa ,Adams ,19003,"16,159.40","15,337.00","15,687.50","25,506.50","21,356.10",0,"23,849.90","27,527.20","27,233.80","18,435.10","14,847.30",0,0,"25,590.50",0,"14,921.20","14,614.90","18,266.20","19,107.70","15,031.70","17,151.60"
Iowa ,Allamakee ,19005,"22,269.60","12,653.10","13,049.50","15,053.10","16,906.80",0,"15,120.70","16,481.40","18,586.40","14,989.80","10,392.10","14,948.90",0,"20,811.90",0,"11,069.70","12,083.30","17,332.80","17,658.90","14,287.30","28,431.80"
Iowa ,Appanoose ,19007,"20,094.00","16,732.20","13,044.60","22,641.30","20,858.70","9,843.20","19,454.30","22,170.90","21,006.60","16,937.80","12,930.90","35,593.50",0,"22,322.20",0,"12,578.10","12,404.10","16,373.90","17,475.50","28,641.70","26,667.80"
Iowa ,Audubon ,19009,"22,515.30","17,036.80","14,650.80","12,577.80","22,288.30",0,"17,267.50","20,726.10","21,984.60","17,656.80","13,274.40",0,0,"23,355.90",0,"12,712.00","12,193.50","16,326.50","21,499.30","10,093.00","37,635.50"
Iowa ,Benton ,19011,"16,475.10","15,734.00","13,360.80","20,718.00","17,082.40",0,"16,183.90","20,309.70","18,880.40","13,730.70","12,525.80","17,668.80",0,"22,027.80",0,"10,756.40","11,095.10","14,726.70","17,042.30","16,856.60","23,192.50"
Iowa ,Black Hawk ,19013,"20,150.30","17,011.30","14,218.10","23,737.00","20,903.50","6,618.40","18,633.10","24,590.50","21,933.50","16,896.90","13,042.40","23,930.90","7,211.30","24,300.00","21,621.70","12,720.40","12,869.00","16,392.00","18,226.40","19,835.40","28,148.50"
Iowa ,Boone ,19015,"15,566.30","14,371.80","12,114.90","17,251.30","19,709.90","11,507.30","17,230.60","20,517.90","19,717.90","15,389.70","11,076.70","28,076.40",0,"21,406.30","9,142.40","10,784.80","10,983.00","14,309.20","12,471.10","14,981.60","23,022.50"
Iowa ,Bremer ,19017,"21,338.10","17,940.50","15,465.60","24,795.10","23,841.40",0,"20,471.50","27,754.60","26,752.50","20,213.90","14,742.90","45,332.30",0,"26,616.10",0,"14,322.80","14,093.30","16,750.50","19,274.30","21,190.20","21,107.40"
Iowa ,Buchanan ,19019,"14,311.90","18,355.60","14,335.40","27,721.80","19,161.00",0,"20,567.60","22,962.70","22,044.70","20,054.50","12,990.90","13,373.50",0,"22,719.90",0,"13,187.60","13,486.70","16,622.60","18,477.00","20,239.00","28,711.40"
Iowa ,Buena Vista ,19021,"23,811.40","14,564.80","13,063.10","19,543.60","17,922.70",0,"13,170.80","19,817.10","21,082.10","14,751.20","11,026.80","19,498.70",0,"20,341.20",0,"11,036.80","11,573.90","14,839.70","15,947.80","18,303.70","24,123.30"
Iowa ,Butler ,19023,"23,425.60","15,154.70","14,769.30","20,849.20","22,070.70",0,"21,903.30","25,055.00","20,752.30","16,913.10","14,189.10","30,198.70",0,"23,149.10",0,"13,360.20","13,356.00","17,206.80","20,540.70","16,107.30","24,999.40"
Iowa ,Calhoun ,19025,"32,606.00","22,382.00","15,629.80","21,600.70","19,800.70",0,"17,465.30","20,830.50","23,841.10","17,083.50","13,459.00","42,925.60",0,"26,177.50",0,"11,953.60","12,887.40","16,671.80","18,128.90","20,779.80","32,375.40"
Iowa ,Carroll ,19027,"20,188.70","13,054.80","12,701.80","16,546.80","16,838.10",0,"15,571.00","18,534.10","20,646.50","16,222.60","11,770.70","24,363.80",0,"20,674.80",0,"11,007.30","11,134.40","15,140.80","14,357.20","15,482.70","20,174.50"
Iowa ,Cass ,19029,"21,690.00","16,728.80","15,881.50","21,640.60","21,886.70",0,"19,754.00","27,985.50","29,007.50","21,187.70","13,906.60","25,413.30",0,"25,536.70",0,"14,133.00","15,201.00","17,948.70","27,290.70","16,508.80","25,351.20"
